,0,1,2
0,ネガ（経験）,あがく,-1.0
1,ネガ（経験）,あきらめる,-1.0
2,ネガ（経験）,あきる,-1.0
3,ネガ（経験）,あきれる,-1.0
4,ネガ（経験）,あきれる た,-1.0
5,ネガ（経験）,あせる,-1.0
6,ネガ（経験）,あなどる,-1.0
7,ネガ（経験）,あやしむ,-1.0
8,ネガ（経験）,あやぶむ,-1.0
9,ネガ（経験）,あやまる,-1.0
10,ネガ（経験）,あらそ う,-1.0
11,ネガ（経験）,あわてる,-1.0
12,ネガ（経験）,いたたまれない,-1.0
13,ネガ（経験）,いたむ,-1.0
14,ネガ（経験）,いつわる,-1.0
15,ネガ（経験）,いらだたしい,-1.0
16,ネガ（経験）,いら立つ,-1.0
17,ネガ（経験）,うつうつ,-1.0
18,ネガ（経験）,うなだれる,-1.0
19,ネガ（経験）,うなる,-1.0
20,ネガ（経験）,うらむ,-1.0
21,ネガ（経験）,うんざり,-1.0
22,ネガ（経験）,おちいる,-1.0
23,ネガ（経験）,おぼれる,-1.0
24,ネガ（経験）,かさばる,-1.0
25,ネガ（経験）,かなう ない,-1.0
26,ネガ（経験）,かなしむ,-1.0
27,ネガ（経験）,がたつく,-1.0
28,ネガ（経験）,がっくり,-1.0
29,ネガ（経験）,くさる,-1.0
30,ネガ（経験）,くずれる,-1.0
31,ネガ（経験）,くたびれる,-1.0
32,ネガ（経験）,くやむ,-1.0
33,ネガ（経験）,くるしむ,-1.0
34,ネガ（経験）,けだるい,-1.0
35,ネガ（経験）,こじらせる,-1.0
36,ネガ（経験）,こそばゆい,-1.0
37,ネガ（経験）,こたえる られる ない,-1.0
38,ネガ（経験）,こぼす,-1.0
39,ネガ（経験）,こまる,-1.0
40,ネガ（経験）,こりる,-1.0
41,ネガ（経験）,こわさ れる,-1.0
42,ネガ（経験）,さじ を 投げる,-1.0
43,ネガ（経験）,しから れる,-1.0
44,ネガ（経験）,しくじる,-1.0
45,ネガ（経験）,しょぼくれる た,-1.0
46,ネガ（経験）,しょんぼり,-1.0
47,ネガ（経験）,しんみり,-1.0
48,ネガ（経験）,せんない,-1.0
49,ネガ（経験）,たおれる,-1.0
50,ネガ（経験）,ためらう,-1.0
51,ネガ（経験）,だま すれ る,-1.0
52,ネガ（経験）,だます,-1.0
53,ネガ（経験）,だれる,-1.0
54,ネガ（経験）,ちがう,-1.0
55,ネガ（経験）,つぶす,-1.0
56,ネガ（経験）,つぶれる,-1.0
57,ネガ（経験）,つまずく,-1.0
58,ネガ（経験）,つらい,-1.0
59,ネガ（経験）,とがめる,-1.0
60,ネガ（経験）,なやむ,-1.0
61,ネガ（経験）,ねじれる,-1.0
62,ネガ（経験）,のぼせる,-1.0
63,ネガ（経験）,はげる,-1.0
64,ネガ（経験）,はずかしい,-1.0
65,ネガ（経験）,ばつ が 悪い,-1.0
66,ネガ（経験）,ひきつる,-1.0
67,ネガ（経験）,ひっかかる,-1.0
68,ネガ（経験）,ひもじい,-1.0
69,ネガ（経験）,びびる,-1.0
70,ネガ（経験）,ふらつく,-1.0
71,ネガ（経験）,ぶつかる,-1.0
72,ネガ（経験）,ぶれる,-1.0
73,ネガ（経験）,ぼける,-1.0
74,ネガ（経験）,ぼける た,-1.0
75,ネガ（経験）,まごつく,-1.0
76,ネガ（経験）,むかっと,-1.0
77,ネガ（経験）,むかつく,-1.0
78,ネガ（経験）,むせる,-1.0
79,ネガ（経験）,むせ返る,-1.0
80,ネガ（経験）,めくら れる,-1.0
81,ネガ（経験）,もたつく,-1.0
82,ネガ（経験）,もだえる,-1.0
83,ネガ（経験）,もつれる,-1.0
84,ネガ（経験）,もてあます,-1.0
85,ネガ（経験）,やつれる,-1.0
86,ネガ（経験）,やむない,-1.0
87,ネガ（経験）,やむをえない,-1.0
88,ネガ（経験）,ゆがむ,-1.0
89,ネガ（経験）,ゆきづまる,-1.0
90,ネガ（経験）,よごす,-1.0
91,ネガ（経験）,よごれる,-1.0
92,ネガ（経験）,わすれる,-1.0
93,ネガ（経験）,ガックリ,-1.0
94,ネガ（経験）,ストレス が ある,-1.0
95,ネガ（経験）,ツライ,-1.0
96,ネガ（経験）,ビビる,-1.0
97,ネガ（経験）,ポシャる,-1.0
98,ネガ（経験）,阿鼻叫喚 だ,-1.0
99,ネガ（経験）,阿鼻叫喚 です,-1.0
100,ネガ（経験）,阿鼻叫喚 と,-1.0
101,ネガ（経験）,阿鼻叫喚 の,-1.0
102,ネガ（経験）,意気 消沈,-1.0
103,ネガ（経験）,引っ掛かる,-1.0
104,ネガ（経験）,引っ繰り返る,-1.0
105,ネガ（経験）,厭う,-1.0
106,ネガ（経験）,怨む,-1.0
107,ネガ（経験）,汚さ れる,-1.0
108,ネガ（経験）,汚す,-1.0
109,ネガ（経験）,汚れる,-1.0
110,ネガ（経験）,臆する,-1.0
111,ネガ（経験）,臆病 風 に 吹か れる,-1.0
112,ネガ（経験）,苛 だ つ,-1.0
113,ネガ（経験）,苛 つく,-1.0
114,ネガ（経験）,苛苛 する,-1.0
115,ネガ（経験）,苛立つ,-1.0
116,ネガ（経験）,我慢 し きれ ない,-1.0
117,ネガ（経験）,我慢 する,-1.0
118,ネガ（経験）,我慢 なら ない,-1.0
119,ネガ（経験）,餓える,-1.0
120,ネガ（経験）,壊さ れる,-1.0
121,ネガ（経験）,壊れる,-1.0
122,ネガ（経験）,怪しむ,-1.0
123,ネガ（経験）,悔しい,-1.0
124,ネガ（経験）,悔やむ,-1.0
125,ネガ（経験）,恰好 が つか ない,-1.0
126,ネガ（経験）,渇く,-1.0
127,ネガ（経験）,堪えがたい,-1.0
128,ネガ（経験）,堪える,-1.0
129,ネガ（経験）,堪え難い,-1.0
130,ネガ（経験）,堪忍袋 の 緒 が 切れる,-1.0
131,ネガ（経験）,干からびる,-1.0
132,ネガ（経験）,患い,-1.0
133,ネガ（経験）,患う,-1.0
134,ネガ（経験）,憾む,-1.0
135,ネガ（経験）,間違う,-1.0
136,ネガ（経験）,陥る,-1.0
137,ネガ（経験）,危ぶむ,-1.0
138,ネガ（経験）,忌み きらう,-1.0
139,ネガ（経験）,忌み嫌う,-1.0
140,ネガ（経験）,機嫌 を 損じる,-1.0
141,ネガ（経験）,機嫌 を 損ねる,-1.0
142,ネガ（経験）,気 が 緩む,-1.0
143,ネガ（経験）,気 が 気 で ない,-1.0
144,ネガ（経験）,気 が 滅入る,-1.0
145,ネガ（経験）,気 に 掛かる,-1.0
146,ネガ（経験）,気 に 障る,-1.0
147,ネガ（経験）,気 に 食わ ない,-1.0
148,ネガ（経験）,気 を もむ,-1.0
149,ネガ（経験）,気 を 悪く する,-1.0
150,ネガ（経験）,気 懸かる,-1.0
151,ネガ（経験）,気 恥ずかしい,-1.0
152,ネガ（経験）,気がかり だ,-1.0
153,ネガ（経験）,気がかり です,-1.0
154,ネガ（経験）,気まずい,-1.0
155,ネガ（経験）,気持ち が 悪い,-1.0
156,ネガ（経験）,気持ち 悪い,-1.0
157,ネガ（経験）,飢える,-1.0
158,ネガ（経験）,偽る,-1.0
159,ネガ（経験）,疑う,-1.0
160,ネガ（経験）,詰まる,-1.0
161,ネガ（経験）,逆らえ ない,-1.0
162,ネガ（経験）,虚しい,-1.0
163,ネガ（経験）,許す こと が でき ない,-1.0
164,ネガ（経験）,許せ ない,-1.0
165,ネガ（経験）,恐る,-1.0
166,ネガ（経験）,恐れる,-1.0
167,ネガ（経験）,狂う,-1.0
168,ネガ（経験）,狂する,-1.0
169,ネガ（経験）,胸 が 騒ぐ,-1.0
170,ネガ（経験）,胸くそ 悪い,-1.0
171,ネガ（経験）,胸苦しい,-1.0
172,ネガ（経験）,胸糞 が 悪い,-1.0
173,ネガ（経験）,胸糞 悪い,-1.0
174,ネガ（経験）,興醒める,-1.0
175,ネガ（経験）,驚愕,-1.0
176,ネガ（経験）,業 を 煮やす,-1.0
177,ネガ（経験）,苦しい,-1.0
178,ネガ（経験）,苦しむ,-1.0
179,ネガ（経験）,苦しめ られる,-1.0
180,ネガ（経験）,苦汁 を なめる,-1.0
181,ネガ（経験）,苦慮,-1.0
182,ネガ（経験）,欠く,-1.0
183,ネガ（経験）,欠ける,-1.0
184,ネガ（経験）,血の気 が 引く,-1.0
185,ネガ（経験）,嫌う,-1.0
186,ネガ（経験）,嫌がる,-1.0
187,ネガ（経験）,肩 を 落とす,-1.0
188,ネガ（経験）,肩身 が 狭い,-1.0
189,ネガ（経験）,見そこなう,-1.0
190,ネガ（経験）,見失う,-1.0
191,ネガ（経験）,見損なう,-1.0
192,ネガ（経験）,見落とす,-1.0
193,ネガ（経験）,遣り 切れ ない,-1.0
194,ネガ（経験）,戸惑う,-1.0
195,ネガ（経験）,枯れる,-1.0
196,ネガ（経験）,後ろ 暗い,-1.0
197,ネガ（経験）,後ろめたい,-1.0
198,ネガ（経験）,後口 が 悪い,-1.0
199,ネガ（経験）,後味 が 悪い,-1.0
200,ネガ（経験）,誤る,-1.0
201,ネガ（経験）,慌てる,-1.0
202,ネガ（経験）,荒れる,-1.0
203,ネガ（経験）,行 詰まる,-1.0
204,ネガ（経験）,行き過ぎる,-1.0
205,ネガ（経験）,行き詰まる,-1.0
206,ネガ（経験）,行き詰る,-1.0
207,ネガ（経験）,行詰る,-1.0
208,ネガ（経験）,降参,-1.0
209,ネガ（経験）,降伏,-1.0
210,ネガ（経験）,降服,-1.0
211,ネガ（経験）,腰 が 砕ける,-1.0
212,ネガ（経験）,骨 の 折れる,-1.0
213,ネガ（経験）,困る,-1.0
214,ネガ（経験）,恨む,-1.0
215,ネガ（経験）,根 に 持つ,-1.0
216,ネガ（経験）,混む,-1.0
217,ネガ（経験）,砕ける,-1.0
218,ネガ（経験）,錆びる,-1.0
219,ネガ（経験）,散らかる,-1.0
220,ネガ（経験）,散る,-1.0
221,ネガ（経験）,刺さる,-1.0
222,ネガ（経験）,死さ れる,-1.0
223,ネガ（経験）,死ぬ,-1.0
224,ネガ（経験）,持て余す,-1.0
225,ネガ（経験）,耳 が 痛い,-1.0
226,ネガ（経験）,自信 が ない,-1.0
227,ネガ（経験）,自制 が きか ない,-1.0
228,ネガ（経験）,自由 が きか ない,-1.0
229,ネガ（経験）,辞める,-1.0
230,ネガ（経験）,失う,-1.0
231,ネガ（経験）,失っ た,-1.0
232,ネガ（経験）,疾しい,-1.0
233,ネガ（経験）,寂しい,-1.0
234,ネガ（経験）,弱る,-1.0
235,ネガ（経験）,取り逃がす,-1.0
236,ネガ（経験）,手 も 足 も 出 ない,-1.0
237,ネガ（経験）,手 を 引く,-1.0
238,ネガ（経験）,手間取る,-1.0
239,ネガ（経験）,腫れる,-1.0
240,ネガ（経験）,首 が まわら ない,-1.0
241,ネガ（経験）,首 を ひねる,-1.0
242,ネガ（経験）,臭う,-1.0
243,ネガ（経験）,縮む,-1.0
244,ネガ（経験）,出来 そこなう,-1.0
245,ネガ（経験）,出来 損なう,-1.0
246,ネガ（経験）,傷つける,-1.0
247,ネガ（経験）,傷む,-1.0
248,ネガ（経験）,傷付ける,-1.0
249,ネガ（経験）,嘗める,-1.0
250,ネガ（経験）,小首 を 傾ける,-1.0
251,ネガ（経験）,小腹 を 立てる,-1.0
252,ネガ（経験）,焦る,-1.0
253,ネガ（経験）,障る,-1.0
254,ネガ（経験）,乗り遅れる,-1.0
255,ネガ（経験）,情ない,-1.0
256,ネガ（経験）,色 を 失う,-1.0
257,ネガ（経験）,侵す,-1.0
258,ネガ（経験）,心外 だ,-1.0
259,ネガ（経験）,心外 です,-1.0
260,ネガ（経験）,心細い,-1.0
261,ネガ（経験）,申し訳 ない,-1.0
262,ネガ（経験）,辛い,-1.0
263,ネガ（経験）,辛め だ,-1.0
264,ネガ（経験）,辛め です,-1.0
265,ネガ（経験）,辛め と,-1.0
266,ネガ（経験）,辛め の,-1.0
267,ネガ（経験）,震える,-1.0
268,ネガ（経験）,衰える,-1.0
269,ネガ（経験）,生き た 心地 も ない,-1.0
270,ネガ（経験）,逝く,-1.0
271,ネガ（経験）,切ない,-1.0
272,ネガ（経験）,折ら れる,-1.0
273,ネガ（経験）,舌 を 巻く,-1.0
274,ネガ（経験）,争う,-1.0
275,ネガ（経験）,遭う,-1.0
276,ネガ（経験）,憎い,-1.0
277,ネガ（経験）,憎たらしい,-1.0
278,ネガ（経験）,損 う,-1.0
279,ネガ（経験）,損なう,-1.0
280,ネガ（経験）,損ねる,-1.0
281,ネガ（経験）,太る,-1.0
282,ネガ（経験）,堕ちる,-1.0
283,ネガ（経験）,妥協,-1.0
284,ネガ（経験）,耐え られ ない,-1.0
285,ネガ（経験）,耐えがたい,-1.0
286,ネガ（経験）,怠る,-1.0
287,ネガ（経験）,退かさ れる,-1.0
288,ネガ（経験）,嘆く,-1.0
289,ネガ（経験）,歎 く,-1.0
290,ネガ（経験）,断た れる,-1.0
291,ネガ（経験）,恥ずかしい,-1.0
292,ネガ（経験）,遅れ を 取る,-1.0
293,ネガ（経験）,遅れる,-1.0
294,ネガ（経験）,虫 が おさまら ない,-1.0
295,ネガ（経験）,懲りる,-1.0
296,ネガ（経験）,懲り懲り だ,-1.0
297,ネガ（経験）,懲り懲り です,-1.0
298,ネガ（経験）,懲り懲り と,-1.0
299,ネガ（経験）,懲り懲り の,-1.0
300,ネガ（経験）,頂け ない,-1.0
301,ネガ（経験）,墜ちる,-1.0
302,ネガ（経験）,痛い,-1.0
303,ネガ（経験）,痛む,-1.0
304,ネガ（経験）,痛める,-1.0
305,ネガ（経験）,潰れる,-1.0
306,ネガ（経験）,諦める,-1.0
307,ネガ（経験）,溺れる,-1.0
308,ネガ（経験）,転ぶ,-1.0
309,ネガ（経験）,吐き出す,-1.0
310,ネガ（経験）,妬む,-1.0
311,ネガ（経験）,途方 に 暮れる,-1.0
312,ネガ（経験）,怒る,-1.0
313,ネガ（経験）,倒れる,-1.0
314,ネガ（経験）,凍える,-1.0
315,ネガ（経験）,悼む,-1.0
316,ネガ（経験）,盗ま れる,-1.0
