,0,1,2,3
0,２，３日,e,〜である・になる（状態）客観,0.0
1,10%,e,〜である・になる（状態）客観,0.0
2,100%,e,〜である・になる（状態）客観,0.0
3,25%,e,〜である・になる（状態）客観,0.0
4,80%,e,〜である・になる（状態）客観,0.0
5,１０カ月,e,〜である・になる（状態）客観,0.0
6,１０時間,e,〜である・になる（状態）客観,0.0
7,１０数年,e,〜である・になる（状態）客観,0.0
8,１０年以上,e,〜である・になる（状態）客観,0.0
9,１０年近く,e,〜である・になる（状態）客観,0.0
10,１１ヶ月,e,〜である・になる（状態）客観,0.0
11,１１年,e,〜である・になる（状態）客観,0.0
12,１２年,e,〜である・になる（状態）客観,0.0
13,１３年,e,〜である・になる（状態）客観,0.0
14,１４年,e,〜である・になる（状態）客観,0.0
15,１５秒,e,〜である・になる（状態）客観,0.0
16,１６年,e,〜である・になる（状態）客観,0.0
17,１７年,e,〜である・になる（状態）客観,0.0
18,１９年,e,〜である・になる（状態）客観,0.0
19,１バイト,e,〜である・になる（状態）客観,0.0
20,１位,p,〜である・になる（状態）客観,1.0
21,１割,e,〜である・になる（状態）客観,0.0
22,１時間以上,e,〜である・になる（状態）客観,0.0
23,１時間以内,e,〜である・になる（状態）客観,0.0
24,１時間半,e,〜である・になる（状態）客観,0.0
25,１周年記念,p,〜である・になる（状態）客観,1.0
26,１週間以上,e,〜である・になる（状態）客観,0.0
27,１勝,p,〜する（出来事）,1.0
28,１体,e,〜である・になる（状態）客観,0.0
29,１通,e,〜である・になる（状態）客観,0.0
30,１日分,e,〜である・になる（状態）客観,0.0
31,１年近く,e,〜である・になる（状態）客観,0.0
32,１番,p,〜である・になる（状態）客観,1.0
33,１品,e,〜である・になる（状態）客観,0.0
34,１文,e,〜である・になる（状態）客観,0.0
35,２０年以上,e,〜である・になる（状態）客観,0.0
36,２０年近く,e,〜である・になる（状態）客観,0.0
37,２３時間,e,〜である・になる（状態）客観,0.0
38,２か月,e,〜である・になる（状態）客観,0.0
39,２ヵ月,e,〜である・になる（状態）客観,0.0
40,２位,e,〜である・になる（状態）客観,0.0
41,２階席,e,〜である・になる（状態）客観,0.0
42,２件目,e,〜である・になる（状態）客観,0.0
43,２時間,e,〜である・になる（状態）客観,0.0
44,２時間以上,e,〜である・になる（状態）客観,0.0
45,２時間半,e,〜である・になる（状態）客観,0.0
46,２次感染,n,〜する（出来事）,-1.0
47,２失点,n,〜する（出来事）,-1.0
48,２勝１敗,e,〜である・になる（状態）客観,0.0
49,２択,e,〜である・になる（状態）客観,0.0
50,２日,e,〜である・になる（状態）客観,0.0
51,２年近く,e,〜である・になる（状態）客観,0.0
52,２年半,e,〜である・になる（状態）客観,0.0
53,３０分位,e,〜である・になる（状態）客観,0.0
54,３０分程度,e,〜である・になる（状態）客観,0.0
55,３４年,e,〜である・になる（状態）客観,0.0
56,３５年,e,〜である・になる（状態）客観,0.0
57,３９歳,e,〜である・になる（状態）客観,0.0
58,３Ｒ,e,〜である・になる（状態）客観,0.0
59,３か月,e,〜である・になる（状態）客観,0.0
60,３タテ,e,〜である・になる（状態）客観,0.0
61,３チーム,e,〜である・になる（状態）客観,0.0
62,３位,e,〜である・になる（状態）客観,0.0
63,３回連続,e,〜である・になる（状態）客観,0.0
64,３割負担,e,〜である・になる（状態）客観,0.0
65,３週間,e,〜である・になる（状態）客観,0.0
66,３酔い,e,〜である・になる（状態）客観,0.0
67,３連打,e,〜である・になる（状態）客観,0.0
68,３連敗,n,〜する（出来事）,-1.0
69,４か月,e,〜である・になる（状態）客観,0.0
70,４回目,e,〜である・になる（状態）客観,0.0
71,４時間,e,〜である・になる（状態）客観,0.0
72,４日,e,〜である・になる（状態）客観,0.0
73,４年,e,〜である・になる（状態）客観,0.0
74,５０日,e,〜である・になる（状態）客観,0.0
75,５０年以上,e,〜である・になる（状態）客観,0.0
76,６００円,e,〜である・になる（状態）客観,0.0
77,６年,e,〜である・になる（状態）客観,0.0
78,７ヶ月,e,〜である・になる（状態）客観,0.0
79,７年,e,〜である・になる（状態）客観,0.0
80,７番,e,〜である・になる（状態）客観,0.0
81,８カ月,e,〜である・になる（状態）客観,0.0
82,８ヶ月,e,〜である・になる（状態）客観,0.0
83,８割,e,〜である・になる（状態）客観,0.0
84,９ヶ月,e,〜である・になる（状態）客観,0.0
85,９年,e,〜である・になる（状態）客観,0.0
86,９番,e,〜である・になる（状態）客観,0.0
87,ＡＤ,e,〜である・になる（状態）客観,0.0
88,ＡＩＤＳ,n,〜である・になる（状態）客観,-1.0
89,ＡＴフィールド,p,〜がある・高まる（存在・性質）,1.0
90,Ａｍａｚｏｎ,e,〜である・になる（状態）客観,0.0
91,Ａ型肝炎,n,〜である・になる（状態）客観,-1.0
92,ＢＢＣ,e,〜である・になる（状態）客観,0.0
93,ＢＩＧ,p,〜である・になる（状態）客観,1.0
94,ＢＯＴ,n,〜する（行為）,-1.0
95,ＢＳＥ,n,〜である・になる（状態）客観,-1.0
96,ＣＤ,e,〜がある・高まる（存在・性質）,0.0
97,ＣＮＮ,e,〜である・になる（状態）客観,0.0
98,Ｃ型肝炎,n,〜である・になる（状態）客観,-1.0
99,ＤＶ,n,〜する（行為）,-1.0
100,ＤＶＤ化,e,〜する（行為）,0.0
101,ＤｏＳ,e,〜である・になる（状態）客観,0.0
102,ＥＤ,n,〜である・になる（状態）客観,-1.0
103,ＥＳ,e,〜である・になる（状態）客観,0.0
104,ＦＡＱ,e,〜がある・高まる（存在・性質）,0.0
105,ＨＩＶ,n,〜である・になる（状態）客観,-1.0
106,ＨＩＶ感染,n,〜する（出来事）,-1.0
107,ＨＰ,e,〜がある・高まる（存在・性質）,0.0
108,ＨＴＭＬ,e,〜である・になる（状態）客観,0.0
109,ＩＴ化,e,〜する（行為）,0.0
110,ＩＴ投資,e,〜する（行為）,0.0
111,ＫＯ,p,〜する（出来事）,1.0
112,ＭＲＳＡ,e,〜である・になる（状態）客観,0.0
113,ＮＧ,n,〜がある・高まる（存在・性質）,-1.0
114,ＯＫ,e,〜する（行為）,0.0
115,ＯＬ,e,〜である・になる（状態）客観,0.0
116,ＯＰＡＣ,e,〜がある・高まる（存在・性質）,0.0
117,ＰＭＳ,n,〜である・になる（状態）客観,-1.0
118,ＰＲ,e,〜する（行為）,0.0
119,ＰＴＳＤ,n,〜である・になる（状態）客観,-1.0
120,Ｑ＆Ａ,e,〜がある・高まる（存在・性質）,0.0
121,ＲＡＭ,e,〜である・になる（状態）客観,0.0
122,ＲＦＣ,e,〜である・になる（状態）客観,0.0
123,ＲＳＳ,e,〜がある・高まる（存在・性質）,0.0
124,ＳＡＲＳ,n,〜である・になる（状態）客観,-1.0
125,ＳＥ,e,〜である・になる（状態）客観,0.0
126,ＳＰＡＭ,e,〜がある・高まる（存在・性質）,0.0
127,ＳＱＬ,e,〜がある・高まる（存在・性質）,0.0
128,ＳＳ,e,〜である・になる（状態）客観,0.0
129,ＴＫＯ,n,〜する（出来事）,-1.0
130,Ｖｅｃｔｏｒ,e,〜である・になる（状態）客観,0.0
131,ＷＷＥ,e,〜である・になる（状態）客観,0.0
132,Ｗｅｂ検索,e,〜する（行為）,0.0
133,Ｗｉｎｎｙ,e,〜である・になる（状態）客観,0.0
134,ｃｏｒｅ,e,〜である・になる（状態）客観,0.0
135,ｅｎｄ,e,〜である・になる（状態）客観,0.0
136,ｈｔｍｌ,e,〜がある・高まる（存在・性質）,0.0
137,ｈｔｔｐ,e,〜である・になる（状態）客観,0.0
138,ｔｘｔ,e,〜である・になる（状態）客観,0.0
139,あいさつ,e,〜する（行為）,0.0
140,あいだ,e,〜である・になる（状態）客観,0.0
141,あいつら,e,〜である・になる（状態）客観,0.0
142,あいまい,n,〜である・になる（評価・感情）主観,-1.0
143,あいまいさ,e,〜がある・高まる（存在・性質）,0.0
144,あえぎ,e,〜がある・高まる（存在・性質）,0.0
145,あかし,e,〜がある・高まる（存在・性質）,0.0
146,あからさま,n,〜である・になる（評価・感情）主観,-1.0
147,あきらめ,n,〜がある・高まる（存在・性質）,-1.0
148,あく,e,〜がある・高まる（存在・性質）,0.0
149,あく抜け,p,〜する（出来事）,1.0
150,あこがれ,p,〜がある・高まる（存在・性質）,1.0
151,あご,e,〜である・になる（状態）客観,0.0
152,あざやか,p,〜である・になる（状態）客観,1.0
153,あし,e,〜がある・高まる（存在・性質）,0.0
154,あせも,n,〜である・になる（状態）客観,-1.0
155,あたしたち,e,〜である・になる（状態）客観,0.0
156,あたたかさ,p,〜がある・高まる（存在・性質）,1.0
157,あだ,n,〜である・になる（評価・感情）主観,-1.0
158,あだおろそか,n,〜である・になる（評価・感情）主観,-1.0
159,あだおろそか・あだやおろそか,n,〜である・になる（評価・感情）主観,-1.0
160,あだやおろそか,n,〜である・になる（評価・感情）主観,-1.0
161,あちら,e,〜である・になる（状態）客観,0.0
162,あっさり,e,〜である・になる（評価・感情）主観,0.0
163,あっし,e,〜である・になる（状態）客観,0.0
164,あっぱれ,p,〜である・になる（評価・感情）主観,1.0
165,あでやか,p,〜である・になる（状態）客観,1.0
166,あどけなさ,p,〜がある・高まる（存在・性質）,1.0
167,あなたがた,e,〜である・になる（状態）客観,0.0
168,あなたらしさ,p,〜がある・高まる（存在・性質）,1.0
169,ありがたさ,p,〜がある・高まる（存在・性質）,1.0
170,ありがたみ,p,〜がある・高まる（存在・性質）,1.0
171,ありがた迷惑,n,〜である・になる（評価・感情）主観,-1.0
172,ありのまま,e,〜である・になる（評価・感情）主観,0.0
173,あるがまま,e,〜である・になる（評価・感情）主観,0.0
174,あわ,e,〜である・になる（状態）客観,0.0
175,あんばい,e,〜である・になる（状態）客観,0.0
176,いい加減,e,〜である・になる（評価・感情）主観,0.0
177,いい気持ち,p,〜である・になる（評価・感情）主観,1.0
178,いい気持ち／気分,p,〜である・になる（評価・感情）主観,1.0
179,いい気分,p,〜である・になる（評価・感情）主観,1.0
180,いかがわしさ,n,〜がある・高まる（存在・性質）,-1.0
181,いかさま,n,〜する（行為）,-1.0
182,いさかい,n,〜がある・高まる（存在・性質）,-1.0
183,いざこざ,n,〜がある・高まる（存在・性質）,-1.0
184,いざとい,e,〜である・になる（状態）客観,0.0
185,いじめ,n,〜がある・高まる（存在・性質）,-1.0
186,いじらしさ,p,〜がある・高まる（存在・性質）,1.0
187,いたずら,n,〜する（行為）,-1.0
188,いたずら電話,n,〜する（行為）,-1.0
189,いたちごっこ,e,〜である・になる（状態）客観,0.0
190,いたみ,n,〜がある・高まる（存在・性質）,-1.0
191,いたわり,p,〜がある・高まる（存在・性質）,1.0
192,いっさい,e,〜である・になる（状態）客観,0.0
193,いっぱい,e,〜である・になる（状態）客観,0.0
194,いとしさ,p,〜がある・高まる（存在・性質）,1.0
195,いのち,p,〜がある・高まる（存在・性質）,1.0
196,いばらの道,n,〜である・になる（評価・感情）主観,-1.0
197,いびき,n,〜がある・高まる（存在・性質）,-1.0
198,いびり,n,〜がある・高まる（存在・性質）,-1.0
199,いぼ,n,〜がある・高まる（存在・性質）,-1.0
200,いやおう,e,〜である・になる（状態）客観,0.0
201,いやらしさ,n,〜がある・高まる（存在・性質）,-1.0
202,いらいら,n,〜する（出来事）,-1.0
203,いらだち,n,〜がある・高まる（存在・性質）,-1.0
204,いろんなの,e,〜である・になる（状態）客観,0.0
205,いわれ,e,〜がある・高まる（存在・性質）,0.0
206,うかうか,n,〜する（出来事）,-1.0
207,うかつ,n,〜である・になる（評価・感情）主観,-1.0
208,うがい,e,〜する（行為）,0.0
209,うさ,n,〜がある・高まる（存在・性質）,-1.0
210,うさんくささ,n,〜がある・高まる（存在・性質）,-1.0
211,うずき,n,〜がある・高まる（存在・性質）,-1.0
212,うそ,n,〜がある・高まる（存在・性質）,-1.0
213,うそっぱち,n,〜である・になる（評価・感情）主観,-1.0
214,うそ偽り,n,〜がある・高まる（存在・性質）,-1.0
215,うそ八百,n,〜である・になる（評価・感情）主観,-1.0
216,うたぐり,n,〜がある・高まる（存在・性質）,-1.0
217,うたた寝,e,〜する（出来事）,0.0
218,うだうだ,n,〜する（出来事）,-1.0
219,うっかり,n,〜する（出来事）,-1.0
220,うっちゃり,e,〜である・になる（状態）客観,0.0
221,うってつけ,p,〜である・になる（評価・感情）主観,1.0
222,うっぷん,n,〜がある・高まる（存在・性質）,-1.0
223,うっ血,n,〜する（出来事）,-1.0
224,うつ,n,〜である・になる（評価・感情）主観,-1.0
225,うつ状態,n,〜である・になる（状態）客観,-1.0
226,うつ病,n,〜である・になる（評価・感情）主観,-1.0
227,うつ伏せ,e,〜である・になる（状態）客観,0.0
228,うなじ,e,〜である・になる（状態）客観,0.0
229,うねり,e,〜がある・高まる（存在・性質）,0.0
230,うぶ,e,〜である・になる（評価・感情）主観,0.0
231,うまさ,p,〜がある・高まる（存在・性質）,1.0
232,うまみ,p,〜がある・高まる（存在・性質）,1.0
233,うま味,p,〜がある・高まる（存在・性質）,1.0
234,うらみ,n,〜がある・高まる（存在・性質）,-1.0
235,うらやみ,n,〜がある・高まる（存在・性質）,-1.0
236,うるささ,n,〜がある・高まる（存在・性質）,-1.0
237,うれしがらせ,e,〜である・になる（評価・感情）主観,0.0
